GO	description	category	ERR2014354	ERR2014355	ERR2014356	ERR2014357	ERR2014358	ERR2014359	ERR2014360	ERR2014361	ERR2014362	ERR2014363	ERR2014364	ERR2014365	ERR2014366	ERR2014367	ERR2014368	ERR2014369	ERR2014370	ERR2014371	ERR2014372	ERR2014373	ERR2014374	ERR2014375	ERR2014376	ERR2014377	ERR2014378	ERR2014379	ERR2014380	ERR2014381	ERR2014382	ERR2014383	ERR2014384	ERR2014385	ERR2014386	ERR2014387	ERR2014388	ERR2014389	ERR2014390	ERR2014391	ERR2014392	ERR2014393
GO:0000001	mitochondrion inheritance	biological process	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000012	single strand break repair	biological process	0	2	4	2	1	0	0	0	2	0	0	0	3	0	1	2	0	0	0	2	1	0	0	0	3	0	0	4	2	1	1	2	2	2	0	0	0	0	0	0
GO:0000015	phosphopyruvate hydratase complex	cellular component	2815	23	295	182	2729	1307	935	10578	168	1839	3768	1817	35	3471	340	763	2004	3299	1318	110	1332	1345	2613	36	1698	398	504	302	199	1024	965	482	888	187	3511	559	1243	1276	1680	1966
GO:0000030	mannosyltransferase activity	molecular function	1	5	1	2	1	1	1	2	1	3	10	7	19	3	2	33	0	0	0	3	1	0	0	3	0	1	0	0	2	10	4	1	2	5	0	5	0	0	0	0
GO:0000041	transition metal ion transport	biological process	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	1	4	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2
GO:0000042	protein targeting to Golgi	biological process	13	6	26	4	21	3	10	3	6	0	0	0	16	7	28	22	1	2	1	20	3	8	2	5	2	24	4	13	13	0	26	13	15	14	0	10	0	3	1	5
GO:0000045	autophagosome assembly	biological process	6	2	4	4	1	1	1	0	2	0	0	1	6	5	5	4	0	0	0	3	0	1	0	1	1	7	1	1	4	0	6	1	2	5	1	0	0	0	0	0
GO:0000049	tRNA binding	molecular function	7721	2153	13381	4785	8462	16368	12393	10242	3904	6701	8835	9500	1399	10022	4406	14233	8609	10193	9947	1923	10040	9851	9337	1294	9558	7358	8452	5333	4618	7933	18152	6074	10393	3695	15075	1052	21013	13270	8921	8705
GO:0000062	fatty-acyl-CoA binding	molecular function	11	7	18	13	14	2	1	2	3	0	2	1	14	11	29	68	2	8	2	12	1	3	0	17	0	12	11	6	25	1	17	7	14	15	0	13	0	1	1	1
GO:0000077	DNA damage checkpoint	biological process	7	7	3	10	3	5	1	0	2	0	1	0	10	1	13	5	0	0	1	10	3	2	1	2	0	7	2	4	7	0	6	5	9	17	0	8	0	1	0	0
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
GO:0000087	mitotic M phase	biological process	2	6	5	9	4	0	2	0	4	0	0	0	8	1	4	1	0	1	0	2	0	3	1	7	0	0	2	2	1	0	0	4	2	1	0	5	0	0	0	0
GO:0000104	succinate dehydrogenase activity	molecular function	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	4	0	3	1	1	1	0	1	0	0	0	0
GO:0000105	histidine biosynthetic process	biological process	1	0	1	1	4	3	2	42	13	2	3	12	8	6	0	18	3	2	4	0	0	0	8	0	17	1	9	0	5	127	2	8	2	1	33	1	0	2	2	2
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	biological process	2	4	6	6	3	4	5	0	3	0	0	1	9	1	95	27	1	1	0	27	0	1	2	4	3	55	13	40	24	0	51	7	26	30	0	14	1	1	2	0
GO:0000123	histone acetyltransferase complex	cellular component	6	9	19	14	6	1	5	0	2	0	0	4	11	2	23	23	0	1	1	19	0	2	1	8	3	34	8	20	14	1	14	6	4	19	0	10	0	0	1	1
GO:0000124	SAGA complex	cellular component	1	0	0	0	0	0	0	0	1	0	1	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0
GO:0000139	Golgi membrane	cellular component	4	13	17	13	9	10	33	1	22	0	0	4	19	3	86	42	2	4	2	59	1	2	0	14	3	124	39	81	45	1	205	30	98	61	1	17	3	4	4	4
GO:0000145	exocyst	cellular component	19	18	54	21	29	3	12	1	8	0	2	3	13	19	48	73	3	2	2	16	1	7	0	11	5	39	11	10	23	1	24	6	8	26	1	5	0	3	3	2
GO:0000148	1,3-beta-D-glucan synthase complex	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	9	16	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GO:0000150	recombinase activity	molecular function	1487	18	99	75	979	969	600	824	662	445	633	2296	217	543	618	463	486	1066	2138	272	3615	1862	1623	1652	584	7279	5613	4161	5212	1964	1765	1703	2554	682	2851	46	411	643	1360	1313
GO:0000151	ubiquitin ligase complex	cellular component	14	18	22	20	9	10	13	1	6	0	2	2	13	10	95	55	3	4	5	47	3	5	1	19	7	88	46	49	37	2	103	25	48	55	0	24	0	1	5	4
GO:0000154	rRNA modification	biological process	57	6	24	20	82	57	39	76	22	84	62	159	31	185	15	63	47	54	53	9	96	73	116	30	26	33	34	22	18	82	40	30	53	11	73	10	42	45	72	59
GO:0000155	phosphorelay sensor kinase activity	molecular function	1265	271	2456	1418	1065	2519	2263	2103	1268	2156	2434	3876	685	1959	1738	4616	1699	3835	2798	837	1855	1959	2485	1682	2421	2758	2472	2235	2074	3395	4056	2606	3734	1031	5194	713	1713	1937	1992	2036
GO:0000156	phosphorelay response regulator activity	molecular function	4	0	0	0	1	0	0	13	1	462	1156	1513	0	0	0	0	768	1942	2	1	0	1	3	0	1	0	0	0	0	39	0	0	2	1	1940	1	0	0	911	0
GO:0000159	protein phosphatase type 2A complex	cellular component	46	28	98	50	46	11	40	6	22	4	7	3	56	34	241	199	3	5	18	73	4	13	5	25	19	188	71	88	132	8	146	30	76	103	4	62	6	6	5	5
GO:0000160	phosphorelay signal transduction system	biological process	8441	637	4668	3539	10075	13099	8713	13886	3407	11498	13661	23677	2481	9616	5331	12693	8766	21987	13849	2722	11817	8968	13459	3047	13829	8534	13270	6759	6927	13783	16000	7760	13567	3540	29456	2920	7208	8976	11825	13044
GO:0000166	nucleotide binding	molecular function	72687	6743	33560	25473	68417	61637	46695	92762	18710	52048	63200	74427	15318	93162	57196	71574	56772	77616	51711	22802	45501	44033	73706	15858	59266	86024	60352	52361	50821	62999	67906	32576	58436	24260	102073	13277	50417	48465	45076	53320
GO:0000172	ribonuclease MRP complex	cellular component	5	1	0	1	5	1	1	9	0	1	2	8	0	0	1	1	4	26	0	0	6	7	4	0	2	2	2	1	0	6	0	0	0	4	28	1	3	3	9	1
GO:0000175	3'-5'-exoribonuclease activity	molecular function	765	0	4	3	1102	1986	1411	1765	38	1401	1208	2348	2	1469	9	21	1458	1819	1279	1	827	841	1102	6	929	2	27	2	2	1851	8	0	8	1	1915	3	595	756	841	426
GO:0000176	nuclear exosome (RNase complex)	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
GO:0000178	exosome (RNase complex)	cellular component	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular function	57	6	24	20	82	57	39	76	22	84	62	159	31	185	15	63	47	54	53	9	96	73	116	30	26	33	34	22	18	82	40	30	53	11	73	10	42	45	72	59
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological process	55	55	132	75	112	40	34	17	28	3	8	9	64	124	106	105	1	13	15	52	10	26	3	47	1	67	22	64	61	8	64	29	25	48	7	77	2	18	3	2
GO:0000186	activation of MAPKK activity	biological process	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
GO:0000213	tRNA-intron endonuclease activity	molecular function	0	0	1	0	2	1	2	1	0	2	0	1	0	1	1	5	0	0	1	2	0	0	0	0	0	2	2	1	0	0	4	0	1	2	0	1	0	0	0	1
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular component	0	2	3	1	5	1	8	1	0	0	0	0	1	0	14	2	0	1	2	7	1	0	0	3	1	24	11	9	11	0	15	5	8	10	1	2	0	0	0	0
GO:0000226	microtubule cytoskeleton organization	biological process	13	19	18	14	14	4	2	4	21	0	4	0	29	12	23	23	2	7	4	29	4	7	2	15	4	20	15	24	21	2	15	15	11	13	0	11	1	4	6	2
GO:0000228	nuclear chromosome	cellular component	2	6	9	7	6	2	1	3	5	0	0	0	5	3	9	10	0	1	1	7	1	2	2	1	0	14	3	5	7	1	9	1	6	7	0	4	0	1	1	2
GO:0000245	spliceosomal complex assembly	biological process	3	6	2	5	1	0	1	0	2	0	1	1	5	0	3	1	0	0	1	1	0	0	0	1	0	3	0	4	3	0	0	0	0	2	0	1	0	0	0	1
GO:0000256	allantoin catabolic process	biological process	0	0	2	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0
GO:0000266	mitochondrial fission	biological process	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0000270	peptidoglycan metabolic process	biological process	20	0	0	0	25	0	0	12	0	22	8	22	0	36	0	1	4	11	2	0	4	5	6	0	2	0	0	0	0	4	0	0	0	0	16	0	0	2	0	6
GO:0000271	polysaccharide biosynthetic process	biological process	76	0	0	4	82	198	210	69	6	69	50	107	2	52	34	10	48	91	254	9	253	181	33	68	150	161	495	114	113	207	0	0	0	0	180	8	286	138	220	354
